Distance,Description,Distance,Description,Distance,Description,Distance,Description,Distance,Description,Distance,Description,Distance,Description
5,easy,5,easy,0,off,6,easy,6,easy,6,medium,10,medium
6,easy,9,"speed: 2 miles wu, 1 mile wd 12x400 with 400 recovery",0,off,6,easy,6,easy,6,medium,10,medium
6,easy,8,"speed: 2 miles wu, 1 mile wd 8x600 w/ 400 recovery",0,off,8,6 mile at mp,7,easy,6,medium,10,long run
6,easy,8,speed: 6x800 with 400 recovery,0,off,8,6 mile tempo,6,easy,8,medium,10,medium
6,easy,8,speed: 5x1000 with 400 recovery,0,off,8,6 mile tempo,7,easy,6,medium,12,long run
6,easy,8,speed: 4x1200 with 400 recovery,0,off,9,7 miles at mp,6,easy,10,medium,10,medium
6,easy,10,speed: 400-800-1600-1200-800 with 400 recovery,0,off,9,7 miles at mp,7,easy,10,medium,14,long run
6,easy,10,speed: 3x1600 with 600 recovery,0,off,9,7 miles at mp,6,easy,10,medium,12,medium
8,easy,8,speed: 6x800 with 400 recovery,0,off,10,8 miles at mp,7,easy,10,medium,15,long run
6,easy,10,speed: 3x1600 with 600 recovery,0,off,10,8 miles at mp,6,easy,10,medium,12,medium
8,easy,10,strength: 6x1 miles at hm with 400 recovery,0,off,10,8 miles at mp,7,easy,10,medium,16,last 3 miles at marathon pace
6,easy,12,strength: 4x1.5 mi at hm with 800 recovery,0,off,11,9 miles at mp,6,easy,10,medium,12,medium
8,easy,11,strength: 3x2 mile at hm with 800 recovery,0,off,11,9 miles at mp,7,easy,10,medium,16,last 3 miles at marathon pace
6,easy,10,strength: 2x3 mile at hm with 1 mile recovery,0,off,11,9 miles at mp,6,easy,10,medium,12,medium
8,easy,11,strength: 3x2 mile at hm with 800 recovery,0,off,12,10 miles at mp,7,easy,10,medium,16,last 3 miles at marathon pace
6,easy,12,strength: 4x1.5 mi at hm with 800 recovery,0,off,12,10 miles at mp,6,easy,10,medium,12,medium
8,easy,10,strength: 6x1 miles at hm with 400 recovery,0,off,12,10 miles at mp,7,easy,8,easy,8,easy
6,easy,5,easy,0,off,6,easy,6,easy,3,easy,26.2,RACE!
